date,lluvia_14d_mtt,lluvia_14d_slp,lluvia_14d_tabasco,lluvia_14d_tuxtepec,lluvia_14d_yucatan,lluvia_7d_mtt,lluvia_7d_slp,lluvia_7d_tabasco,lluvia_7d_tuxtepec,lluvia_7d_yucatan,lluvia_mm_mtt,lluvia_mm_slp,lluvia_mm_tabasco,lluvia_mm_tuxtepec,lluvia_mm_yucatan,lluvia_mm_ponderada,lluvia_7d_ponderada,lluvia_14d_ponderada,lluvia_mm,lluvia_7d,lluvia_14d,lluvia_14d_lag6,lluvia_7d_lag7,lluvia_3d_lag7
2023-01-12,7.52,0.7399999999999849,66.33000000000004,5.8100000000000005,17.6,7.229999999999994,0.7,48.89000000000004,5.669999999999986,17.26999999999997,6.55,0.03,9.73,4.11,0.0,5.605977011494253,10.496781609195398,12.127011494252876,5.605977011494253,10.496781609195398,12.127011494252876,22.50218390804598,1.630229885057467,1.3120689655172415
2023-01-13,11.39,0.7999999999999848,121.97000000000004,10.89,17.96,11.329999999999997,0.76,92.58000000000004,9.949999999999989,17.31999999999997,4.12,0.06,55.64,5.08,0.43,7.996436781609195,17.350344827586202,19.964252873563222,7.996436781609195,17.350344827586202,19.964252873563222,15.727356321839082,2.6139080459770074,1.1428735632183908
2023-01-14,11.39,0.7999999999999848,123.09000000000005,10.79,17.95,11.349999999999994,0.76,93.66000000000004,9.769999999999987,17.01999999999997,0.04,0.0,1.13,0.0,0.0,0.1157471264367816,17.399310344827583,20.035402298850578,0.1157471264367816,17.399310344827583,20.035402298850578,5.562413793103451,2.636091954022984,0.0667816091954023
2023-01-15,11.39,0.7699999999999848,123.09000000000005,10.79,17.92,11.039999999999994,0.43,92.74000000000004,9.559999999999986,4.029999999999969,0.0,0.0,0.0,0.0,0.0,0.0,16.3287356321839,20.031954022988508,0.0,16.3287356321839,20.031954022988508,6.628160919540233,3.703218390804593,1.0705747126436782
2023-01-16,11.39,0.7599999999999848,123.09000000000005,10.79,17.900000000000002,10.839999999999993,0.13,71.87000000000003,9.239999999999986,0.4799999999999698,0.0,0.0,0.0,0.0,0.0,0.0,14.24528735632183,20.030229885057476,0.0,14.24528735632183,20.030229885057476,6.519885057471267,5.784942528735629,2.083448275862069
2023-01-17,11.39,0.8399999999999849,123.09000000000005,10.79,17.900000000000002,10.799999999999994,0.18,66.55000000000004,9.189999999999989,0.4499999999999697,0.0,0.08,0.0,0.0,0.0,0.004597701149425287,13.784367816091951,20.0348275862069,0.004597701149425287,13.784367816091951,20.0348275862069,6.571034482758624,6.250459770114938,0.4655172413793104
2023-01-18,11.39,0.8899999999999848,121.82000000000004,10.78,17.810000000000002,10.709999999999994,0.2199999999999999,66.50000000000004,9.189999999999989,0.4299999999999698,0.0,0.05,0.0,0.0,0.0,0.0028735632183908046,13.725632183908042,19.92850574712644,0.0028735632183908046,13.725632183908042,19.92850574712644,12.127011494252876,6.202873563218387,0.06160919540229885
2023-01-19,11.62,1.079999999999985,105.66000000000004,10.75,17.7,4.389999999999995,0.38,56.770000000000046,5.079999999999987,0.4299999999999698,0.23,0.19,0.0,0.0,0.0,0.15367816091954023,8.27333333333333,18.77011494252874,0.15367816091954023,8.27333333333333,18.77011494252874,19.964252873563222,10.496781609195398,5.605977011494253
2023-01-20,11.69,1.1299999999999848,93.71000000000004,9.95,17.32,0.3599999999999946,0.37,1.1300000000000423,0.0,0.0,0.09,0.05,0.0,0.0,0.0,0.05873563218390804,0.33563218390804606,17.685977011494256,0.05873563218390804,0.33563218390804606,17.685977011494256,20.035402298850578,17.350344827586202,7.996436781609195
2023-01-21,11.69,1.1299999999999848,93.66000000000004,9.77,17.02,0.3399999999999947,0.37,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.012413793103448277,0.23229885057470936,17.6316091954023,0.012413793103448277,0.23229885057470936,17.6316091954023,20.031954022988508,17.399310344827583,0.1157471264367816
2023-01-22,17.15,1.9499999999999849,92.75000000000004,14.14,4.029999999999999,6.109999999999994,1.52,0.0100000000000426,4.579999999999987,0.0,5.77,1.15,0.01,4.58,0.0,4.490574712643678,4.722873563218388,21.051609195402303,4.490574712643678,4.722873563218388,21.051609195402303,20.030229885057476,16.3287356321839,0.0
2023-01-23,20.45,5.779999999999984,72.07000000000004,19.0,0.6799999999999999,9.609999999999994,5.65,0.2000000000000426,9.759999999999987,0.1999999999999698,3.5,4.13,0.19,5.18,0.2,3.3891954022988506,8.112068965517237,22.35735632183908,3.3891954022988506,8.112068965517237,22.35735632183908,20.0348275862069,14.24528735632183,0.0
2023-01-24,20.48,6.389999999999984,66.78000000000003,19.25,0.99,9.679999999999994,6.209999999999999,0.2300000000000426,10.059999999999986,0.5399999999999698,0.07,0.64,0.03,0.3,0.34,0.15735632183908047,8.264827586206891,22.04919540229885,0.15735632183908047,8.264827586206891,22.04919540229885,19.92850574712644,13.784367816091951,0.004597701149425287
2023-01-25,22.67,6.379999999999984,74.89000000000003,20.31,12.98,11.959999999999994,6.159999999999999,8.390000000000043,11.119999999999989,12.549999999999969,2.28,0.0,8.16,1.06,12.01,2.956896551724138,11.21885057471264,24.944482758620694,2.956896551724138,11.21885057471264,24.944482758620694,18.77011494252874,13.725632183908042,0.0028735632183908046
2023-01-26,20.96,6.689999999999984,93.61000000000004,21.49,50.47,16.569999999999993,6.31,36.840000000000046,16.409999999999986,50.03999999999997,4.84,0.34,28.45,5.29,37.49,8.440229885057471,19.505402298850566,27.77873563218391,8.440229885057471,19.505402298850566,27.77873563218391,17.685977011494256,8.27333333333333,0.15367816091954023
2023-01-27,18.21,6.8499999999999845,45.99000000000004,17.35,60.09,17.849999999999994,6.48,44.86000000000004,17.349999999999987,60.089999999999975,1.37,0.22,8.02,0.94,10.05,2.258735632183908,21.705402298850572,22.041034482758622,2.258735632183908,21.705402298850572,22.041034482758622,17.6316091954023,0.33563218390804606,0.05873563218390804
