date,usd_mxn,usd_mxn_lag1,usd_mxn_lag3,usd_mxn_chg_3d,usd_mxn_chg_7d,usd_mxn_ma7,peso_debil_7d
2020-08-13,22.2628,22.3457,22.485,-0.22220000000000084,-0.5217000000000027,22.386242857142857,0
2020-08-14,22.0313,22.2628,22.349,-0.31769999999999854,-0.37549999999999883,22.332600000000003,0
2020-08-17,22.057,22.0313,22.3457,-0.2887000000000022,-0.3082000000000029,22.288571428571426,0
2020-08-18,22.1535,22.057,22.2628,-0.10929999999999751,-0.3356999999999992,22.240614285714287,0
2020-08-19,22.0527,22.1535,22.0313,0.021399999999999864,-0.4322999999999979,22.178857142857144,0
2020-08-20,22.176,22.0527,22.057,0.11899999999999977,-0.17300000000000182,22.15414285714286,1
2020-08-21,22.0362,22.176,22.1535,-0.11730000000000018,-0.3094999999999999,22.109928571428572,0
2020-08-24,21.984,22.0362,22.0527,-0.06869999999999976,-0.27879999999999683,22.0701,0
2020-08-25,21.9723,21.984,22.176,-0.20369999999999777,-0.05900000000000105,22.06167142857143,0
2020-08-26,21.9202,21.9723,22.0362,-0.11599999999999966,-0.13679999999999737,22.042128571428574,0
2020-08-27,22.1168,21.9202,21.984,0.13279999999999959,-0.03669999999999973,22.036885714285717,1
2020-08-28,21.8602,22.1168,21.9723,-0.11210000000000164,-0.19250000000000256,22.009385714285713,0
2020-08-31,21.888,21.8602,21.9202,-0.03219999999999956,-0.2879999999999967,21.968242857142858,0
2020-09-01,21.7445,21.888,22.1168,-0.37230000000000274,-0.2917000000000023,21.926571428571428,0
2020-09-02,21.8393,21.7445,21.8602,-0.020899999999997476,-0.14470000000000027,21.9059,0
2020-09-03,21.6383,21.8393,21.888,-0.2497000000000007,-0.33399999999999963,21.858185714285717,0
2020-09-04,21.6115,21.6383,21.7445,-0.13299999999999912,-0.30870000000000175,21.814085714285714,0
2020-09-07,21.5887,21.6115,21.8393,-0.25060000000000215,-0.528100000000002,21.738642857142857,0
2020-09-08,21.7138,21.5887,21.6383,0.07549999999999812,-0.14639999999999986,21.717728571428573,0
2020-09-09,21.5377,21.7138,21.6115,-0.07379999999999853,-0.3503000000000007,21.667685714285714,0
2020-09-10,21.2773,21.5377,21.5887,-0.311399999999999,-0.4671999999999983,21.600942857142858,0
2020-09-11,21.321,21.2773,21.7138,-0.3927999999999976,-0.5183,21.5269,0
2020-09-14,21.0728,21.321,21.5377,-0.4649000000000001,-0.5655000000000001,21.446114285714284,0
2020-09-15,21.0692,21.0728,21.2773,-0.20810000000000173,-0.5423000000000009,21.368642857142856,0
2020-09-17,20.985,21.0692,21.321,-0.3360000000000021,-0.6036999999999999,21.2824,0
2020-09-18,20.9697,20.985,21.0728,-0.1031000000000013,-0.7440999999999995,21.176099999999998,0
2020-09-21,21.505,20.9697,21.0692,0.4358000000000004,-0.03270000000000195,21.17142857142857,1
2020-09-22,21.5682,21.505,20.985,0.5832000000000015,0.2909000000000006,21.212985714285715,1
2020-09-23,22.0897,21.5682,20.9697,1.120000000000001,0.768699999999999,21.3228,1
2020-09-24,22.3678,22.0897,21.505,0.8628,1.2949999999999982,21.5078,1
2020-09-25,22.4402,22.3678,21.5682,0.8719999999999999,1.3710000000000022,21.703657142857143,1
2020-09-28,22.4573,22.4402,22.0897,0.3675999999999995,1.4723000000000006,21.91398571428571,1
2020-09-29,22.3598,22.4573,22.3678,-0.007999999999999119,1.3901000000000003,22.11257142857143,1
2020-09-30,22.1438,22.3598,22.4402,-0.296400000000002,0.6387999999999998,22.203828571428573,0
2020-10-01,21.9562,22.1438,22.4573,-0.501100000000001,0.3879999999999981,22.25925714285714,0
2020-10-02,21.7025,21.9562,22.3598,-0.6572999999999993,-0.3872,22.203942857142856,0
2020-10-05,21.396,21.7025,22.1438,-0.747799999999998,-0.9717999999999982,22.065114285714287,0
2020-10-06,21.4507,21.396,21.9562,-0.5054999999999978,-0.9894999999999996,21.923757142857145,0
2020-10-07,21.493,21.4507,21.7025,-0.20950000000000202,-0.9643000000000015,21.786,0
2020-10-08,21.4318,21.493,21.396,0.03579999999999828,-0.9280000000000008,21.65342857142857,0
2020-10-09,21.1822,21.4318,21.4507,-0.2684999999999995,-0.9615999999999971,21.516057142857143,0
2020-10-12,21.2183,21.1822,21.493,-0.2746999999999993,-0.7378999999999998,21.410642857142857,0
2020-10-13,21.3677,21.2183,21.4318,-0.06409999999999982,-0.3348000000000013,21.362814285714286,1
2020-10-14,21.2998,21.3677,21.1822,0.11759999999999948,-0.09619999999999962,21.349071428571428,0
2020-10-15,21.3832,21.2998,21.2183,0.16489999999999938,-0.06750000000000256,21.339428571428574,1
2020-10-16,21.1765,21.3832,21.3677,-0.19119999999999848,-0.3164999999999978,21.294214285714286,0
